185, Unnamed Harbor, 47.8021512, 16.6952578
186, Port de Plaisance de Harskirchen, 48.9393843, 7.0290361
187, Utansjöverkens hamn, 62.7719327, 17.9303084
188, Vizitúra átemelőhely, 47.8317228, 17.5426206
189, 旭漁港, 42.0626165, 143.0625829
190, Puerto Kollino, -15.7702366, -69.6785744
191, Wyk auf Föhr, 54.693355, 8.578713
192, Port de pêche Bouharoun, 36.6261582, 2.6558911
193, Jachthaven Tholen, 51.5307245, 4.2245655
194, porto peschereccio, 38.0152749, 12.497952
195, Pelabuhan Penyeberangan Nabire, -3.2380362, 135.5827975
196, Port Vell, 41.3701548, 2.1836618
197, Bönhman, 62.8795356, 18.4492276
198, Marina di Cortellazzo, 45.537317, 12.7233216
199, Ölhafen, 49.5322336, 8.4436595
200, Unnamed Harbor, 50.2185731, -4.8915722
201, Alliklepa sadam, 59.2845905, 23.7933279
202, Katamaran, 47.8021791, 16.6956329
203, Unnamed Harbor, -8.7021088, 116.5791119
204, North Slip, 41.7408685, -87.5347676
205, Mustvee paadisadam, 58.8468175, 26.9462797
206, Porto di Savona, 44.3124508, 8.4898681
207, Unnamed Harbor, -15.7820535, -69.67757
208, 根室港（花咲）, 43.2773749, 145.5765514
209, Freeport, 26.5239442, -78.7724843
210, Unnamed Harbor, -1.6501602, -49.3546773
211, Porto da Ponta Delgada, 37.7381421, -25.6585417
212, 栗谷港, 35.2040674, 136.061452
213, Halte de Saint-Mammès, 48.3886208, 2.8058666
214, Pelabuhan Elat, -5.6496474, 132.996473
215, Unnamed Harbor, 59.9678409, 21.7781236
216, Robert E. Galovin Boat Harbor, 55.3334782, -160.4981524
217, Munalaiu sadam, 58.2294239, 24.1179085
218, 観音漁港, 32.1477012, 130.2006656
219, Unnamed Harbor, 59.2732373, 5.1912696
220, Porto Comercial de Sines, 37.9448052, -8.869441
221, Unnamed Harbor, 61.5112571, 5.2244427
222, Tuletorni kai, 58.7896887, 22.7710166
223, Helsøysund fiskerihavn, 63.5337071, 8.3897818
224, Unnamed Harbor, 4.2216692, 73.5374822
225, Hyannis Outer Harbor, 41.6315003, -70.2869656
226, Mõntu sadam, 57.9487757, 22.1252977
227, Unnamed Harbor, 59.6038136, 5.7992129
228, Port du Château, 46.5068366, 6.4983403
229, Unnamed Harbor, 36.6589909, 28.0824387
230, Valdez Marine Terminal, 61.0924504, -146.3928224
231, Unnamed Harbor, 59.2848092, 5.3055659
232, 佐世保港, 33.151753, 129.7143616
233, Unnamed Harbor, 59.0598326, 5.4056223
234, Unnamed Harbor, -0.7014652, -47.8814954
235, Porto das Velas, 38.6785914, -28.2010114
236, 高倉漁港 (高倉), 37.3000539, 137.2076732
237, Unnamed Harbor, 6.2683798, 1.7385266
238, Porte 12, 43.3348048, 5.347509
239, Unnamed Harbor, -1.9410233, -50.8240757
240, Unnamed Harbor, 47.9285934, 16.8336725
241, 北大東港(北), 25.9559117, 131.3115027
242, Passe de Gourret à Wilson, 43.3358118, 5.341062
243, Unnamed Harbor, 69.1414362, 15.6812159
244, Cala Mangiavolpe, 41.2126863, 9.4086802
245, Unnamed Harbor, 67.2823566, 14.3703902
246, Unnamed Harbor, 69.0650948, 16.8143955
247, Unnamed Harbor, 66.9256986, 13.4320706
248, Zuiderhaven, 53.0392964, 4.8504026
249, Unnamed Harbor, 69.6704173, 19.6530532
250, 伊里前漁港, 38.7159206, 141.5262437
251, Røtnes småbåthavn, 67.9345017, 15.2493728
252, Becken B, 51.4524045, 6.7621328
253, 南有馬漁港（浦田地区）, 32.6381475, 130.2566814
254, Mount Erebus, -77.5294129, 167.1493592
255, Marina de Dégrad des Cannes, 4.8526462, -52.2826764
256, Unnamed Harbor, 54.3451449, -7.6460529
257, Unnamed Harbor, 50.6070974, 16.1160481
258, Port de Cargèse, 42.131146, 8.5969562
259, Terminal da Ponta da Madeira, -2.5595079, -44.3665281
260, Pescadero Puerto Nuevo, 12.9127524, -87.171319
261, Zarzis, 33.4803864, 11.1258888
262, Unnamed Harbor, -1.4383621, -48.4953005
263, Unnamed Harbor, 12.6594955, -83.7602954
264, Unnamed Harbor, 32.8105379, 12.4718056
265, Unnamed Harbor, 68.1951204, 14.3422842
266, Fritidshamn, 58.4252437, 11.6471865
267, Clarence Town Harbour, 23.0977527, -74.9497094
268, Pelabuhan Penyeberangan Amahai, -3.3012419, 128.950378
269, Kungshamns gästhamn, 58.360509, 11.2467159
270, 小宝島港, 29.2196008, 129.3217478
271, Unnamed Harbor, 69.4658377, 17.2240871
272, Terminal Vrac de l'Embranchement d'Hagondange, 49.2312141, 6.1612632
273, Unnamed Harbor, 51.4593154, 13.5464858
274, Port de Miragoâne, 18.4493529, -73.1090891
275, Puerto Montecarlo, -26.5599608, -54.8057144
276, De Belt, 52.6356907, 6.01211
277, Porto di Trapani, 38.0129708, 12.5183249
278, Unnamed Harbor, 68.530341, 15.2331274
279, Unnamed Harbor, 60.1122918, 5.1481812
280, Unnamed Harbor, 37.9780044, 13.7106042
281, Unnamed Harbor, -0.0616949, -51.1667532
282, Unnamed Harbor, 62.1793993, 5.4418432
283, Puerto Candelaria, -27.4487116, -55.7435043
284, Houmt Souk, 33.8903512, 10.856742
285, Unnamed Harbor, 56.1019953, 15.6372946
286, Palau, 41.1795378, 9.3855757
287, Unnamed Harbor, -22.6148748, -48.1766862
288, 宝島港, 29.1585307, 129.2070626
289, Videbergs hamn, 57.2496764, 12.1111545
290, Unnamed Harbor, -15.6636501, 168.1198386
291, Unnamed Harbor, 47.9647312, 10.8793165
292, Pelabuhan Penyeberangan Larat, -7.1509721, 131.7155546
293, 二見漁港, 27.0969013, 142.200644
294, Porto da Boca da Ribeira, 38.5914405, -28.5997559
295, Botas (Ceyhan) Oil Terminal, 36.8773707, 35.9437452
296, Unnamed Harbor, 68.8775314, 16.5735249
297, ENI, 41.2384201, 9.1957644
298, Unnamed Harbor, -21.0450777, -50.4930253
299, Unnamed Harbor, 62.5814828, 6.1277824
300, Unnamed Harbor, -32.0278933, -52.1015185
301, 巣喰ノ浦, 33.0744025, 129.7206461
302, Marti Marina, 36.7704747, 28.1267685
303, Hafen Romanshorn, 47.5653347, 9.3810852
304, Louvre, 48.8600998, 2.3316205
305, Unnamed Harbor, 60.1831166, 5.0438307
306, Unnamed Harbor, -22.9502334, -43.1736061
307, Unnamed Harbor, 63.7533831, 8.678395
308, Marina Tribunj, 43.7537626, 15.7475769
309, 구룡포항, 35.9871878, 129.5555541
310, Unnamed Harbor, 57.9435742, 11.542775
311, Unnamed Harbor, 47.3470281, 8.5363935
312, Oldenburg Osthafen, 53.1472288, 8.259845
313, 沼津港, 35.0436883, 138.8941437
314, Unnamed Harbor, 9.699565, 123.8560265
315, Julianahaven, 51.500138, 4.0550721
316, 椋名漁港, 34.1382978, 133.0174617
